epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,650.939,1.94549,3.87205,1.59429,0.00327,0.30656,0.07695,0.03689,1.16475,3.93448,1.13154,0.00021435,0.00021435,0.00021435
2,2279.84,1.36582,1.89721,1.09572,0.00648,0.45776,0.12764,0.06778,1.16878,3.83493,1.11741,0.000399134,0.000399134,0.000399134
3,2961.16,1.29938,1.53789,1.05103,0.00423,0.32684,0.05957,0.03361,1.22875,3.8044,1.14405,0.000538647,0.000538647,0.000538647
4,3686.04,1.21739,1.28711,1.03083,0.00599,0.43545,0.12867,0.07505,1.13388,3.60278,1.04315,0.00063289,0.00063289,0.00063289
5,4511.22,1.1904,1.1833,1.02157,1,0.04788,0.16501,0.11228,1.14878,3.25796,1.07289,0.000681862,0.000681862,0.000681862
6,5306.56,1.19786,1.14091,1.02602,0.94306,0.10546,0.25967,0.18366,1.12109,2.72488,1.04858,0.000685563,0.000685563,0.000685563
7,6338.92,1.13296,1.05838,1.003,0.92205,0.15472,0.44793,0.31714,1.09678,2.43626,1.07862,0.000580174,0.000580174,0.000580174
8,7030.28,1.10368,0.97059,0.99724,0.59602,0.39027,0.5235,0.36092,1.00347,1.78429,0.99798,0.000438703,0.000438703,0.000438703
9,7741.13,1.10172,0.91507,0.98353,0.81329,0.57354,0.65521,0.43795,1.03649,1.49097,1.00704,0.000297232,0.000297232,0.000297232
10,8427.49,1.06816,0.87555,0.97992,0.74091,0.61323,0.68353,0.46205,0.99701,1.14477,0.99201,0.000155761,0.000155761,0.000155761
